	X	Y	Yfit
925	1066.03	28	0.0240116
926	1066.94	27.5	0.0239086
927	1067.84	28	0.0238073
928	1068.75	29.5	0.0237056
929	1069.66	24	0.0236046
930	1070.57	25.5	0.0235043
931	1071.47	26.5	0.0234057
932	1072.38	27	0.0233066
933	1073.29	28.5	0.0232083
934	1074.19	28	0.0231116
935	1075.1	28	0.0230145
936	1076	29.5	0.0229191
937	1076.91	27	0.0228232
938	1077.81	28	0.0227291
939	1078.72	24	0.0226345
940	1079.62	26	0.0225415
941	1080.53	26	0.0224481
942	1081.43	29	0.0223563
943	1082.33	28	0.0222651
944	1083.24	26.5	0.0221735
945	1084.14	30	0.0220835
946	1085.04	27	0.021994
947	1085.95	29	0.0219041
948	1086.85	25	0.0218158
949	1087.75	28.5	0.021728
950	1088.65	24	0.0216408
951	1089.55	27	0.0215541
952	1090.46	26	0.021467
953	1091.36	25	0.0213814
954	1092.26	27.5	0.0212963
955	1093.16	28	0.0212117
956	1094.06	30	0.0211277
957	1094.96	33.5	0.0210442
958	1095.86	27	0.0209612
959	1096.76	20.5	0.0208787
960	1097.66	27.5	0.0207967
961	1098.56	26	0.0207152
962	1099.46	27	0.0206343
963	1100.36	27	0.0205538
964	1101.25	30.5	0.0204746
965	1102.15	27	0.0203951
966	1103.05	26.5	0.020316
967	1103.95	28	0.0202375
968	1104.85	30	0.0201594
969	1105.74	27.5	0.0200826
970	1106.64	28	0.0200054
971	1107.54	25	0.0199287
972	1108.43	28	0.0198533
973	1109.33	30	0.0197775
974	1110.23	29	0.0197021
975	1111.12	30	0.019628
976	1112.02	30	0.0195535
977	1112.91	29	0.0194803
978	1113.81	28	0.0194067
979	1114.7	25	0.0193344
980	1115.6	26.5	0.0192616
981	1116.49	31	0.0191901
982	1117.38	29	0.0191189
983	1118.28	29.5	0.0190475
984	1119.17	31.5	0.0189772
985	1120.07	21.5	0.0189065
986	1120.96	32.5	0.018837
987	1121.85	25	0.0187679
988	1122.74	25	0.0186992
989	1123.64	27	0.0186301
990	1124.53	29	0.0185622
991	1125.42	31.5	0.0184947
992	1126.31	25.5	0.0184275
993	1127.2	31	0.0183607
994	1128.09	27.5	0.0182943
995	1128.98	31	0.0182283
996	1129.87	30	0.0181627
997	1130.76	29.5	0.0180974
998	1131.65	27.5	0.0180324
999	1132.54	25.5	0.0179679
1000	1133.43	28	0.0179037
1001	1134.32	29	0.0178398
1002	1135.21	26.5	0.0177763
1003	1136.1	28	0.0177132
1004	1136.99	26.5	0.0176504
1005	1137.88	29.5	0.0175879
1006	1138.76	27	0.0175265
